hyperfile,file,runid,new,P,Q,nlive,niter,logl,logz,logzerr,information,walltime
hyper_cmp,awb/arctic_a0094,0,False,1,3,500,7010,-70.35719752507961,-83.72393042153321,0.23517426026822283,10.407397120112392,223.73705101013184
hyper_cmp,awb/arctic_a0094,0,False,2,3,500,8038,6.94053987116774,-8.544254547085385,0.25169008902193873,11.924391443795916,310.4766368865967
hyper_cmp,awb/arctic_a0094,0,False,3,3,500,9543,159.85720938720578,141.33697068591036,0.27215284694149483,14.341205042614234,465.59636402130127
hyper_cmp,awb/arctic_a0094,0,False,4,3,500,9956,235.33456818694748,216.0052996926156,0.2849955244018617,15.359665741330389,575.6335849761963
hyper_cmp,awb/arctic_a0094,0,False,5,3,500,10281,242.24094325833107,222.30111259240257,0.2896525814451935,16.255337774342394,703.9123084545135
hyper_cmp,awb/arctic_a0094,0,False,6,3,500,13686,344.04633559213846,317.261238227675,0.3270034848835196,22.726671950055902,1153.5308346748352
hyper_cmp,awb/arctic_a0094,0,False,7,3,500,12622,371.72371244318794,347.10179172053444,0.3167613980252172,21.01707885739745,1179.127171754837
hyper_cmp,awb/arctic_a0094,0,False,8,3,500,13437,517.9088652277903,491.63199822794985,0.32932927568185283,22.10266320369982,1501.7984659671783
hyper_cmp,awb/arctic_a0094,0,False,9,3,500,13486,540.384479225486,514.0394302470897,0.3322980304854959,22.643268607257255,1770.5240805149078
hyper_cmp,awb/arctic_a0094,0,False,10,3,500,13080,567.3430962380093,541.7894682641819,0.32411900254486137,21.73512158266965,1878.7486474514008
hyper_cmp,awb/arctic_a0094,0,False,0,4,500,14765,-41.48361805263448,-70.51405121028326,0.3343956116149619,21.878722852644813,433.83686995506287
hyper_cmp,awb/arctic_a0094,0,False,1,4,500,13187,-56.2115402783549,-82.01471566317362,0.3292405011251839,20.907548928177334,489.120902299881
hyper_cmp,awb/arctic_a0094,0,False,2,4,500,12811,12.718074491624042,-12.341154480730394,0.32541322830939456,19.785416482976576,575.0406250953674
hyper_cmp,awb/arctic_a0094,0,False,3,4,500,12566,158.44339197217084,133.92819129556577,0.3143421443487725,21.108926433151765,649.7832427024841
hyper_cmp,awb/arctic_a0094,0,False,4,4,500,13934,236.28612452714805,209.0168043491745,0.33218684236834384,23.505987879029846,898.0783915519714
hyper_cmp,awb/arctic_a0094,0,False,5,4,500,13306,239.5462809497743,213.57126527864463,0.3257274260607481,22.63262699863634,981.94225025177
hyper_cmp,awb/arctic_a0094,0,False,6,4,500,15546,330.44199900360996,299.9083596483626,0.34903661402047875,25.29674036233655,1319.8708605766296
hyper_cmp,awb/arctic_a0094,0,False,7,4,500,14580,355.0091886444087,326.43622168063786,0.3446141657485505,23.85801810071547,1444.0374493598938
